Sample	posterior	likelihood	prior	NC	r	tau	x	tree.height	tree.treeLength	D.treeLikelihood
0	-33417.442842390315	-33168.025667815185	-249.41717457512888	597.6582390917969	0.362972952494898	65.94501887205904	33.55545031867154	49.16542681132289	1096.8263407283293	-33168.025667815185
1000	-33421.74737814391	-33173.488971019244	-248.25840712467053	597.6582390917969	0.362972952494898	65.94501887205904	33.55545031867154	48.90825313939746	1089.6053903979505	-33173.488971019244
2000	-33410.44364270071	-33164.14905953873	-246.29458316197864	597.6582390917969	0.362972952494898	65.94501887205904	33.55545031867154	49.77127325944217	1124.3574650384373	-33164.14905953873
3000	-33407.673160712904	-33160.97529925862	-246.69786145428176	597.6582390917969	0.362972952494898	65.94501887205904	33.55545031867154	49.10684786988277	1099.173370926357	-33160.97529925862
4000	-33410.118733048876	-33162.58581569175	-247.5329173571248	1045.4351510691365	0.5404534510629793	65.94501887205904	33.55545031867154	47.85465697553093	1085.2378574447148	-33162.58581569175
5000	-33416.37679773805	-33168.232606532096	-248.14419120595164	1099.7972964158548	0.5404534510629793	76.33004230995657	33.55545031867154	48.266478712188544	1093.9623033732923	-33168.232606532096
6000	-33419.35410136633	-33174.65142806436	-244.7026733019663	749.5234475043598	0.5404534510629793	55.82119343254738	33.55545031867154	47.15806377521917	1084.6566436234095	-33174.65142806436
7000	-33414.09728219816	-33164.623641050064	-249.47364114809562	749.5234475043598	0.5404534510629793	55.82119343254738	33.55545031867154	47.32010639024542	1086.0354391379014	-33164.623641050064
8000	-33413.95538080854	-33170.03114970491	-243.92423110363163	749.5234475043598	0.5404534510629793	71.38747510464628	33.55545031867154	46.37544082741678	1068.7767524658625	-33170.03114970491
9000	-33408.01511720565	-33162.28608461388	-245.7290325917744	749.5234475043598	0.5404534510629793	71.38747510464628	33.55545031867154	47.00004638495858	1079.9236698393852	-33162.28608461388
10000	-33409.04464783039	-33163.31257105287	-245.73207677752066	749.5234475043598	0.5404534510629793	71.38747510464628	33.55545031867154	47.268378593961344	1088.253811742201	-33163.31257105287
