trace	posterior	likelihood	prior	NC	r	tau	x	tree.height	tree.treeLength	treeLikelihood
mean	-46412.3284896092	-46160.9678199199	-251.360669689315	4379.94777280864	0.234252027172209	58.3624664120374	38.2298540884285	119.830385967358	2144.6942269522	-46160.9678199199
stderr.of.mean	0.0632648275858319	0.0499730865120518	0.0662732496125402	14.7569452396714	0.000926104246565286	0.057052367523729	0.0309238991190217	0.0287338217539263	0.208609424047958	0.0499730865120518
stdev	5.50280638505766	4.92126620200797	3.59938232222222	1563.08017405352	0.0537569344772811	3.48950587695006	2.41748863870345	3.77589022455598	22.1121191305496	4.92126620200797
variance	30.2808781114313	24.218861031026	12.9555531015258	2443219.6305192	0.00288980800439469	12.176651265269	5.84425131826024	14.2573469878974	488.945812443619	24.218861031026
median	-46412.0937050044	-46160.6681931506	-251.835153376433	4086.23200447675	0.233848194397343	58.3506618718635	38.2179032348935	119.674085985569	2144.5309560536	-46160.6681931506
mode	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric
geometric.mean	NaN	NaN	NaN	4139.28547729523	0.227528824329755	58.2591684188954	38.1534873532347	119.771142497129	2144.58026661371	NaN
HPD95.lower	-46437.9025497732	-46186.6693057338	-264.328689476618	1159.22715784009	0.0383630343222182	50.763757437109	28.3494969113498	106.304550334536	2062.2684469677	-46186.6693057338
HPD95.upper	-46403.6904979158	-46153.4445762959	-244.111471450689	7246.51997910867	0.319719592739396	63.9475884924463	42.1692372196507	126.294961002793	2181.51747402279	-46153.4445762959
ACT	2292.08294331213	1788.10397738222	5878.88155479031	1545.626513708	5146.65312237941	4635.46825263995	2837.48614084438	1004.20459467689	1543.40980128424	1788.10397738222
ESS	7566.04382515944	9698.54114713655	2949.88082994616	11220.0456230503	3369.56845305759	3741.15387159076	6111.74791318606	17269.3892180208	11236.1603415827	9698.54114713655
n.samples	17342	17342	17342	17342	17342	17342	17342	17342	17342	17342
chain.length	19268000	19268000	19268000	19268000	19268000	19268000	19268000	19268000	19268000	19268000
log.every	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000
