trace	posterior	likelihood	prior	pi_0	pi_1	pi_2	pi_3	pi_4	pi_5	pi_6	pi_7	pi_8	pi_9	pi_10	pi_11	pi_12	pi_13	pi_14	pi_15	rates_0	rates_1	rates_2	rates_3	rates_4	rates_5	N0	b	f0	delta	epsilon	treeheight	treelength	D.treeLikelihood
mean	-17242.1283374369	-17148.0289790489	-94.0993583879528	0.19520014907031	0.0255221422837251	0.00931201889397335	0.0266830938552985	0.0250507609641388	0.154251824945129	0.0164962427593002	0.0181248287715665	0.00924506221703422	0.0164112964878412	0.210823206072727	0.0193588015077367	0.0264708755874463	0.0181349782056637	0.019333128222488	0.209581590155621	0.0253758769178564	0.200649594286795	0.0767041024182829	0.00244224343725107	0.68308403122255	0.0117441517172649	2960.79907197732	0.347270994549823	0.749388882302473	0.16829579789361	0.00100145380275464	10.229405663618	328.131786000344	-17148.0289790489
stderr.of.mean	0.295830578163149	0.284163037970943	0.11498745841091	0.00120521517682888	0.000302433603398802	0.000131785069864109	0.000236534612420305	0.000323815106076173	0.000961231991706983	0.000149889165952095	0.000112481829054335	0.000143776713737879	0.000128742890404145	0.00126280217085304	0.000165062233842198	0.000334254086389534	8.37602685324962e-05	0.00018508519351299	0.00106842633705795	0.000468159429867245	0.00207058192124564	0.000829097441237328	0.000184414416832688	0.00279558939412988	0.000299170516135718	21.959976794724	0.00105215034196543	0.00223161810826276	0.000343221811374233	3.63132378642674e-05	0.0270222490658425	0.92990911081195	0.284163037970943
stdev	6.57001321728983	5.96788500336832	3.35050482349013	0.00940379197644598	0.0126336288285413	0.00361298373853644	0.00592940506281504	0.0127439212124599	0.00768207347840923	0.00488461889385742	0.00658580992979763	0.00363329242995647	0.00477337554123711	0.0111224660604228	0.00496455311658372	0.00615440048404915	0.00657337068403076	0.00495700139094432	0.0087140944372918	0.00431283351289284	0.0163325493685883	0.00708125487806465	0.00174269941531692	0.0196242283099978	0.00312904666900529	1106.84261860119	0.0324483917163468	0.0662463084061804	0.00537583015019072	0.000487904252894194	0.356645296531129	10.3897844774415	5.96788500336832
variance	43.1650736753631	35.6156514134285	11.2258825722306	8.84313035362698e-05	0.00015960857737735	1.30536514949288e-05	3.51578443989367e-05	0.000162407527869386	5.90142529276785e-05	2.38595017382289e-05	4.33728924314211e-05	1.3200813881579e-05	2.27851140576806e-05	0.000123709251265258	2.46467876473812e-05	3.78766453180644e-05	4.3209202149675e-05	2.4571862789824e-05	7.593544186204e-05	1.86005329099316e-05	0.000266752168877374	5.01441706481144e-05	3.03700125214593e-06	0.000385110336762918	9.79093305681308e-06	1225100.58235193	0.00105289812497748	0.00438857337744676	2.88995498036996e-05	2.38050559992242e-07	0.127195867537777	107.947621487685	35.6156514134285
median	-17241.7903701251	-17147.7217445523	-94.0265379999814	0.195912789598532	0.0269350084218528	0.00923675525110671	0.0267778627094035	0.0241091897169872	0.154658373856067	0.0163494005399429	0.0180770974999611	0.00910488057882136	0.0163158354536499	0.211157795623942	0.0192724003763932	0.0266986364223128	0.0181565086660456	0.0192724003763932	0.209841727689679	0.0252180406863845	0.200103671137481	0.0766204212088875	0.00216522885277929	0.684040770924814	0.0114447038484007	2765.017591369	0.345896523989625	0.75520771113828	0.168296887082215	0.000957521734202809	10.2181305695006	327.985885890899	-17147.7217445523
mode	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric
geometric.mean	NaN	NaN	NaN	0.194973967950817	0.0219566371025352	0.00849943130620774	0.0259825245889112	0.0213995583978072	0.154059128563156	0.0157096062922275	0.0166979882583538	0.0084275329019261	0.0156584050041246	0.210531654790199	0.0186794214047734	0.0256973280399687	0.0167185451043089	0.0186564950493566	0.209400968786974	0.0250089483376681	0.199984472776709	0.0763778420123055	0.00166084202450112	0.682800205135261	0.0113044114034923	2776.91645315553	0.345761315426662	0.74635339604254	0.168209906744269	0.000862890792107887	10.2232040021173	327.967405386302	NaN
HPD95.lower	-17274.2968146064	-17181.2886224699	-109.325808088187	0.168663599244946	0.0023049214321943	0.000208875989494879	0.00717912577950674	0.00205823978182705	0.133297644650718	0.00262432062908729	0.000414650671096972	0.000503761404364769	0.00169333046219568	0.183425017144408	0.00300037457641162	0.00698658349970281	0.000414650671096972	0.00315783180991116	0.191056040333036	0.0118311316416778	0.154790550308249	0.056473037772771	5.99869808803125e-05	0.626967620549087	0.00471250631422719	742.066738610798	0.227397588759644	0.401897664991953	0.146772049020985	3.41342051790464e-06	8.8237110409902	284.836823227029	-17181.2886224699
HPD95.upper	-17231.9519656899	-17138.8133758422	-88.7209506295688	0.210563636311666	0.0431417153550287	0.0154042357099459	0.0363140590785331	0.0429115367715538	0.166368218014678	0.0247169252388171	0.0290474539552147	0.0154158303971774	0.0242725352541242	0.229035381625511	0.0276917617126907	0.0364072013058468	0.0290033860341651	0.0277397076052518	0.224265797188048	0.0333176970101225	0.226170164369892	0.0897311705991145	0.00533747437694846	0.714356984029607	0.0170026604107173	5012.12730871019	0.402723665924025	0.848253525144562	0.177202943677111	0.00187287192267746	10.83660859633	345.462760812485	-17138.8133758422
ACT	18247.1964397318	20405.0090454376	10600.4173432102	147831.051649627	5157.58472137254	11974.10102401	14322.1979163341	5810.72822529854	140910.06940464	8474.64715825949	2625.35999812934	14093.5015344792	6546.93174106904	116014.152182158	9948.95857613195	26547.5503399244	1461.31009397503	12547.2277913455	135296.684740029	106048.535021588	144650.315650396	123376.716034397	100782.999008513	182643.44999849	82272.7491599208	3542.7011376938	9462.627809186	10213.1309128707	36686.0699664073	49854.3720989499	51666.9104711652	72095.878363255	20405.0090454376
