trace	posterior	likelihood	prior	N0	b	f0	tree.height	tree.treeLength	treeLikelihood
mean	-12824.0761613433	-12694.9983621811	-129.077799162142	4028.00765104404	0.494227730993397	0.684344176752809	6.77464558497014	227.835171075376	-12694.9983621811
stderr.of.mean	0.125058044424774	0.0527429312575498	0.136785091494729	46.9912650201498	0.00394517012663769	0.00649473661508023	0.00490428083481095	0.083240169976105	0.0527429312575498
stdev	5.60862951135643	4.81251475449886	3.10156447268868	1634.07743421598	0.0405601393200336	0.0668896637978663	0.178445912400886	4.88946016851129	4.81251475449886
variance	31.4567249956583	23.1602982622692	9.61970217824462	2670209.06101388	0.00164512490166054	0.00447422712299158	0.0318429436525848	23.9068207394585	23.1602982622692
median	-12823.7074614053	-12694.6247672159	-128.933075125902	3716.96971934178	0.494529102655704	0.689851415192417	6.77098114346428	227.79512975348	-12694.6247672159
mode	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric
geometric.mean	NaN	NaN	NaN	3741.02869769909	0.492551577355057	0.680936495379996	6.77229785912405	227.782703024059	NaN
HPD95.lower	-12854.1962779005	-12718.6752445692	-146.553089449989	843.834821333406	0.364335593920557	0.416466249899384	6.08614103667974	206.24214630398	-12718.6752445692
HPD95.upper	-12815.4994587821	-12687.7384381286	-124.221405263367	7102.95290297316	0.563605862092024	0.788727538310336	7.07284820678583	235.941846274229	-12687.7384381286
ACT	4474.57992782745	1081.00296862082	17504.8507901865	7442.71719449041	85148.1281417262	84849.164517306	6797.98127004977	2608.47453330474	1081.00296862082
ESS	2011.38434113743	8325.69406491325	514.148912657147	1209.24922508979	105.699328880368	106.071757467504	1323.9371575871	3450.33079107641	8325.69406491325
n.samples	90001	90001	90001	90001	90001	90001	90001	90001	90001
chain.length	1e+07	1e+07	1e+07	1e+07	1e+07	1e+07	1e+07	1e+07	1e+07
log.every	100	100	100	100	100	100	100	100	100
