trace	posterior	likelihood	prior	N0	b	f0	tree.height	tree.treeLength	treeLikelihood
mean	-17532.9934487386	-17395.1342770795	-137.859171659192	6047.0679481511	0.372562558400648	0.799053838357776	10.4496996462178	363.44788602725	-17395.1342770795
stderr.of.mean	0.0761791800495455	0.058586633253726	0.0589903066694209	44.8838765136606	0.00113942619583034	0.00190218595799638	0.00367580967160533	0.0296435372196734	0.058586633253726
stdev	5.83566263295355	5.10251264549552	2.79528194492667	2437.21874557966	0.0339358947598315	0.058511640075868	0.231201487120441	6.34082181821004	5.10251264549552
variance	34.0549583656504	26.0356352974417	7.81360115163301	5940035.21380488	0.00115164495315036	0.00342361202436793	0.0534541276467035	40.2060213302885	26.0356352974417
median	-17532.5779279667	-17394.7381989189	-137.727898304631	5582.84172741303	0.371046915528161	0.804346183641412	10.4441682933232	363.408146047845	-17394.7381989189
mode	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric
geometric.mean	NaN	NaN	NaN	5618.86068940063	0.371029438211216	0.796839353914067	10.4471455439502	363.392573776128	NaN
HPD95.lower	-17566.8060424959	-17422.1149664411	-161.051113259905	1197.23975341653	0.225324704318563	0.398687280529683	9.51390073000138	333.95097909421	-17422.1149664411
HPD95.upper	-17524.1753032082	-17387.4830863713	-133.485825422478	10658.4278910192	0.430554747638916	0.885746078895001	10.840503710769	373.979334781198	-17387.4830863713
ACT	1533.67996195887	1186.51002778799	4008.22948560139	3052.34913316104	10146.033695796	9511.82626225855	2274.92610983226	196.703215772142	1186.51002778799
ESS	5868.30383341825	7585.35519230197	2245.40536721531	2948.58143920103	887.055993489273	946.201050339933	3956.2164068105	45754.7171492385	7585.35519230197
n.samples	90001	90001	90001	90001	90001	90001	90001	90001	90001
chain.length	1e+07	1e+07	1e+07	1e+07	1e+07	1e+07	1e+07	1e+07	1e+07
log.every	100	100	100	100	100	100	100	100	100
