trace	posterior	likelihood	prior	pi_0	pi_1	pi_2	pi_3	pi_4	pi_5	pi_6	pi_7	pi_8	pi_9	pi_10	pi_11	pi_12	pi_13	pi_14	pi_15	rates_0	rates_1	rates_2	rates_3	rates_4	rates_5	NInfinity	b	t50	delta	epsilon	treeheight	treelength	D.treeLikelihood
mean	-27859.0618346905	-27857.3176368751	-1.74419781534224	0.174588227722001	0.0138818925267797	0.022688526806008	0.0307742865135258	0.013886730307163	0.175575086323584	0.0186131353352739	0.01437273527155	0.0228186780229351	0.0185847500839147	0.215032030224805	0.0127056849321951	0.0309482956408756	0.0142982129970758	0.0127552612839705	0.208476466008342	0.0904413780641475	0.096585583686566	0.0753443605128458	0.115276014577076	0.35656318517353	0.265789477985834	166.886783686658	7.56023441382816	1.41328435806457	0.655618717482172	0.00186255228968757	1.7906292602346	62.3445645424826	-27857.3176368751
stderr.of.mean	0.465525598344568	0.222302704403604	0.587652491222979	0.000466585072645359	7.21361035991135e-05	0.000100345871519161	0.000119729820395709	6.01330321231609e-05	0.000528368947590027	8.84436435183599e-05	7.57579421349535e-05	9.9173153007555e-05	9.0445889194648e-05	0.000545706095444973	6.94063833763962e-05	0.000121324390982734	8.05486843274014e-05	6.65302185728901e-05	0.000479957835639519	0.000512492095955805	0.000472988665016912	0.000336662961332008	0.000577709485765276	0.00141813759826289	0.00092416173538185	0.499031156029212	0.158210920717237	0.00401214581099545	5.10468913469511e-05	2.93981780098005e-05	0.00698171210805665	0.227175837246449	0.222302704403604
stdev	11.0549243722662	7.11125418746208	10.462984997919	0.0080831673308419	0.00550135864610293	0.0083880124237742	0.0107784681735332	0.00547815368754744	0.00838693940335689	0.00729912789527182	0.00534155476607014	0.00842897548226868	0.00728323895371745	0.0087822553545282	0.00490428151257398	0.0107887966581091	0.00533596256586184	0.00491036864999403	0.00851654285310192	0.0187764307965644	0.0157952458145517	0.0125714893172599	0.0195300208965299	0.0328568433843858	0.0271398080325357	43.0211912837129	2.27388917594942	0.120709007990954	0.00372545148366154	0.000752219272748779	0.136338371950937	4.89805377223218	7.11125418746208
variance	122.211352876526	50.569936118697	109.474055066678	6.53375940983897e-05	3.02649469530515e-05	7.03587524213904e-05	0.000116175376167868	3.00101678243896e-05	7.03407525555805e-05	5.32772680315352e-05	2.85322073189267e-05	7.10476276806865e-05	5.30455696569473e-05	7.71280091121393e-05	2.40519771545749e-05	0.000116398133330025	2.84724965042789e-05	2.41117202788442e-05	7.25315021687214e-05	0.000352554353458171	0.000249489790342112	0.000158042343653979	0.000381421716218894	0.00107957215718606	0.000736569180042888	1850.82289946982	5.17057198449993	0.0145706646101602	1.3878988757116e-05	5.65833834294701e-07	0.018588151666232	23.9909307556779	50.569936118697
median	-27858.9423413906	-27857.1623918821	-2.16499414883024	0.174666735950549	0.0137055385817118	0.0225201449562531	0.0306289088860268	0.0137273360302736	0.175419656231379	0.0185116558181152	0.0142457756965068	0.0225991703847256	0.0184342674096244	0.215142285483022	0.0125979647588477	0.030925088375039	0.0141967232248078	0.0126406300265393	0.208540650978069	0.0897423027267681	0.0958480135369316	0.074712504043524	0.114124995048717	0.355063560944517	0.265200251372728	161.29668577262	7.20023857214791	1.40898450008828	0.655654770770432	0.00183460606183912	1.79027991379599	62.3485103912872	-27857.1623918821
mode	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric
geometric.mean	NaN	NaN	NaN	0.174400974763646	0.0126080564063588	0.0208819734710479	0.0285787956020658	0.012623354937297	0.175374857774555	0.016921255894851	0.0132174179081957	0.0210102380189715	0.0169027194786458	0.214852265613305	0.0115932118267548	0.0287566869584757	0.0131383628585463	0.0116512184975865	0.208302261996747	0.0884399627915659	0.0952809010355595	0.0743016356736067	0.113602902753626	0.355045057979989	0.264400089135763	161.662446054494	7.25181799060765	1.40813316788443	0.655608131066841	0.00168280025710045	1.78540788390566	62.1507504640736	NaN
HPD95.lower	-27913.0164535235	-27884.7220663217	-40.0824148643508	0.149069836171883	0.000466574288089529	0.000866313554247967	0.000798410070442436	0.000530194058161716	0.151881256407298	0.000503241053697971	0.000300984783540938	0.000871973278881465	0.000573414996078284	0.188207236876768	0.000422482511218597	0.00065744607611292	0.000359669148911022	0.00028628623793054	0.181019316431705	0.0207381784978956	0.0446464818806551	0.0366637411820405	0.0485787089217112	0.250424583825711	0.167772331180414	64.783029778743	3.01548597740596	1.01972175243471	0.639626373406363	2.55707632119249e-05	1.34662786509131	46.0668264297562	-27884.7220663217
HPD95.upper	-27841.0287190296	-27845.8818643024	16.0637049582744	0.188592696308431	0.0231360468618658	0.0367379661063508	0.0488277388011746	0.023151205171607	0.190268897362381	0.0308653167604897	0.0233757075474025	0.037103724663951	0.0308075459233228	0.229338890394	0.0209937220841139	0.0489653462088135	0.0232642781897517	0.0210346442696603	0.223338888641605	0.122309614135536	0.122661605051803	0.0967287389775905	0.147890965497823	0.410265440121918	0.312293793644731	245.444472803254	11.7421318870153	1.62108066252249	0.661739919795853	0.00315501713903396	2.01100306776127	70.2354962871726	-27845.8818643024
ACT	55226.811799617	30434.8718504211	98243.6180963806	103770.266594173	5354.75782304701	4457.12976807334	3842.95204390561	3752.59911935524	123606.682932672	4572.62613561319	6264.62901326464	4311.3477189989	4802.89329535162	120248.558448702	6237.67060678439	3938.44345445706	7096.85193053563	5717.20933327537	98913.1176563032	23201.8519857581	27926.9224181605	22335.2905999665	27251.3468518634	58017.5596841532	36112.4382993928	4190.49037656927	150767.841572616	34407.1296940113	5847.2971622852	47569.2504289645	81669.9060894926	66996.4155449867	30434.8718504211
ESS	563.947093542271	1023.33271364075	317.018047619598	300.134142680798	5816.322797261	6987.68077678449	8104.44669727058	8299.58090630028	251.968576949554	6811.18444331846	4971.56334941048	7223.95919557886	6484.63292535419	259.005183943943	4993.04980390039	7907.94646670724	4388.56556468261	5447.58783253387	314.872291339765	1342.34974083611	1115.23208800647	1394.43003262499	1142.87929214296	536.820234590233	862.445225708387	7432.3043847432	206.575882994248	905.190298550854	5326.3925426749	654.729677662444	381.35222006833	464.875616802018	1023.33271364075
n.samples	31145	31145	31145	31145	31145	31145	31145	31145	31145	31145	31145	31145	31145	31145	31145	31145	31145	31145	31145	31145	31145	31145	31145	31145	31145	31145	31145	31145	31145	31145	31145	31145	31145
chain.length	34605000	34605000	34605000	34605000	34605000	34605000	34605000	34605000	34605000	34605000	34605000	34605000	34605000	34605000	34605000	34605000	34605000	34605000	34605000	34605000	34605000	34605000	34605000	34605000	34605000	34605000	34605000	34605000	34605000	34605000	34605000	34605000	34605000
log.every	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000
