Sample	posterior	likelihood	prior	NInfinity	b	t50	tree.height	tree.treeLength	D.treeLikelihood
0	-4797.619488432919	-4715.929583423638	-81.68990500928044	78.4793768276892	9.55119423027419	1.3994972312417167	1.6624407979762246	49.50819915770653	-4715.929583423638
1000	-4806.715645915725	-4727.204658502131	-79.5109874135938	58.927962283115356	9.55119423027419	1.3994972312417167	1.6624407979762246	49.18728297225042	-4727.204658502131
2000	-4811.676194805139	-4727.546845458474	-84.12934934666433	60.92420252449003	9.55119423027419	1.3994972312417167	1.6624407979762246	50.60455974109545	-4727.546845458474
3000	-4794.6474730860255	-4712.919628222722	-81.72784486330349	60.92420252449003	9.55119423027419	1.3994972312417167	1.6624407979762246	49.55910699386607	-4712.919628222722
4000	-4797.887469648873	-4709.143902985185	-88.74356666368784	46.092246980052984	9.55119423027419	1.3994972312417167	1.6624407979762246	48.41118823244046	-4709.143902985185
5000	-4795.701866631949	-4706.103008744822	-89.59885788712734	71.5079164661873	9.55119423027419	1.3994972312417167	1.6624407979762246	48.90571310838192	-4706.103008744822
6000	-4793.178379203808	-4707.502360704356	-85.67601849945191	36.55311519246899	9.55119423027419	1.3994972312417167	1.6624407979762246	48.11419178717991	-4707.502360704356
7000	-4802.335004839091	-4717.284015215543	-85.05098962354823	42.865035712175555	9.55119423027419	1.3994972312417167	1.6624407979762246	48.420797803967105	-4717.284015215543
8000	-4802.863089312017	-4715.845224059203	-87.01786525281402	42.865035712175555	9.55119423027419	1.3994972312417167	1.6624407979762246	48.03701023278245	-4715.845224059203
9000	-4797.542178320404	-4708.096889989906	-89.4452883304976	42.865035712175555	9.55119423027419	1.3994972312417167	1.6520179838259161	48.509566713575914	-4708.096889989906
10000	-4804.825442610493	-4712.010022761512	-92.81541984898118	43.4504166891241	9.55119423027419	1.3994972312417167	1.6520179838259161	48.264438837138385	-4712.010022761512
11000	-4801.863524580019	-4717.9983872629555	-83.86513731706289	37.42248521902395	9.55119423027419	1.3994972312417167	1.6520179838259161	47.66839278215778	-4717.9983872629555
12000	-4795.042834103038	-4706.474088664465	-88.56874543857359	37.42248521902395	9.55119423027419	1.3994972312417167	1.6520179838259161	48.381034189868515	-4706.474088664465
13000	-4798.396437894905	-4717.160595491579	-81.23584240332555	37.42248521902395	9.55119423027419	1.3994972312417167	1.6520179838259161	47.71300789664666	-4717.160595491579
14000	-4797.320625163829	-4711.147739632414	-86.17288553141533	31.06835400973639	9.55119423027419	1.3994972312417167	1.6520179838259161	48.52322944099173	-4711.147739632414
15000	-4793.240413948475	-4709.559550448365	-83.68086350011009	65.51190195540995	9.927479724322312	1.3994972312417167	1.6520179838259161	48.546031490622454	-4709.559550448365
16000	-4795.853174550292	-4714.1444745433555	-81.70870000693681	50.577676425451386	9.927479724322312	1.3994972312417167	1.6520179838259161	48.390818256056974	-4714.1444745433555
17000	-4796.920590809034	-4715.271599972368	-81.64899083666688	57.233371708958046	9.927479724322312	1.3994972312417167	1.6520179838259161	49.32168507752695	-4715.271599972368
18000	-4798.325773721803	-4712.735285236151	-85.5904884856521	57.233371708958046	9.927479724322312	1.3994972312417167	1.6520179838259161	47.9484950570587	-4712.735285236151
19000	-4809.282484731225	-4714.645481632711	-94.63700309851367	38.05540280620723	9.927479724322312	1.3994972312417167	1.6498451644134253	47.42717732819644	-4714.645481632711
20000	-4817.1873465138715	-4723.829946414411	-93.3574000994606	49.1393573747303	9.927479724322312	1.3994972312417167	1.6504759058558864	46.53525466193195	-4723.829946414411
21000	-4805.755094480843	-4710.619582138059	-95.13551234278366	41.006882479533125	9.927479724322312	1.3994972312417167	1.6504759058558864	48.018872161943236	-4710.619582138059
22000	-4805.2450736147775	-4717.500953797343	-87.74411981743465	42.63992573472061	9.927479724322312	1.3994972312417167	1.6529981432209588	48.833677110106834	-4717.500953797343
23000	-4807.489213522575	-4720.021417882071	-87.46779564050415	42.63992573472061	9.927479724322312	1.3994972312417167	1.6489623659619683	48.93970235046371	-4720.021417882071
24000	-4810.177867462086	-4718.767861939682	-91.41000552240426	48.544188614931784	9.927479724322312	1.3994972312417167	1.6489623659619683	47.65332549623716	-4718.767861939682
25000	-4801.886931029558	-4716.316984980417	-85.56994604914053	53.99912130357664	9.559910632315074	1.3994972312417167	1.6478918425401963	47.7949574477883	-4716.316984980417
26000	-4797.253908152538	-4710.267973792733	-86.9859343598053	52.868682363457566	9.559910632315074	1.3994972312417167	1.6695356079846417	49.48599863641011	-4710.267973792733
27000	-4798.165283158766	-4709.310475627853	-88.85480753091336	46.742784521657065	9.559910632315074	1.3994972312417167	1.6695356079846417	49.68319588609055	-4709.310475627853
28000	-4802.368883944246	-4715.751465954631	-86.61741798961415	57.44360079223563	9.150573415463834	1.3994972312417167	1.6695356079846417	49.90765965524096	-4715.751465954631
29000	-4814.273896552479	-4717.145974755998	-97.1279217964798	37.95493071322412	9.150573415463834	1.3994972312417167	1.6736461882825175	48.75844638890215	-4717.145974755998
30000	-4794.210412966015	-4708.6379898319365	-85.57242313407816	42.56990688538494	9.150573415463834	1.3994972312417167	1.6761467671141934	49.1299381200326	-4708.6379898319365
