trace	posterior	likelihood	prior	NInfinity	b	t50	tree.height	tree.treeLength	treeLikelihood
mean	-4466.4734889859	-4384.14827743647	-82.3252115494243	50.1896070663722	10.4929955473682	1.29921993043772	1.56703314127729	44.8400446005893	-4384.14827743647
stderr.of.mean	0.828873312140096	0.114357030540211	0.945365963192489	0.279511949060013	0.726099127544492	0.0276909818430197	0.0153149142650127	0.453398640515386	0.114357030540211
stdev	9.01765862134914	4.58171429751481	7.2934617434113	12.9379874936889	3.64435717776827	0.090072480374183	0.0787630869991152	2.0616028951748	4.58171429751481
variance	81.3181670111925	20.9921059040516	53.1945842026041	167.39152038685	13.2813392391511	0.00811305172075757	0.0062036238736302	4.2502064973931	20.9921059040516
median	-4466.28777993638	-4383.66315689459	-82.5133990621047	48.5016258746548	9.81195350076465	1.28764364726666	1.56783281004329	44.8275729937892	-4383.66315689459
mode	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric
geometric.mean	NaN	NaN	NaN	48.6432404595858	9.91635518703928	1.29612893084739	1.5650435739581	44.7925209881191	NaN
HPD95.lower	-4502.16760871737	-4405.78911195539	-108.106875418946	23.0532752910974	3.84211030338062	1.03194267624102	1.31679728025455	38.0617207455608	-4405.78911195539
HPD95.upper	-4452.0069726017	-4377.57528216923	-69.7649214782263	74.0196565343407	17.9902773390525	1.4768677423612	1.694341205833	48.2587118924894	-4377.57528216923
ACT	76038.0965180267	5606.76346578445	151208.083690033	4200.58529070158	357266.638790498	850618.784546668	340271.97770877	435304.243049002	5606.76346578445
ESS	118.374872756922	1605.38250898741	59.5272407423102	2142.79662882328	25.1940680228982	10.5817084733169	26.4523692506461	20.6774919926217	1605.38250898741
n.samples	9001	9001	9001	9001	9001	9001	9001	9001	9001
chain.length	1e+07	1e+07	1e+07	1e+07	1e+07	1e+07	1e+07	1e+07	1e+07
log.every	1000	1000	1000	1000	1000	1000	1000	1000	1000
