Sample	posterior	likelihood	prior	NInfinity	b	t50	tree.height	tree.treeLength	D.treeLikelihood
0	-4968.203613198687	-4922.383076117443	-45.82053708124371	113.41280204581102	11.759868586444314	1.3667097153257963	1.5899772228632978	56.349186124242166	-4922.383076117443
1000	-4964.180723311743	-4921.615936157991	-42.56478715375184	87.98245363989098	11.759868586444314	1.3667097153257963	1.5819167907313663	56.18057770740436	-4921.615936157991
2000	-4964.885679589227	-4925.397671797211	-39.48800779201601	136.7819772059671	11.868456560425027	1.3793296045631689	1.5965238535610988	57.12703406213128	-4925.397671797211
3000	-4953.930538818974	-4912.515314748862	-41.415224070112195	136.7819772059671	11.804211786955785	1.3718631983347414	1.5878817598913721	57.08344089384818	-4912.515314748862
4000	-4960.139211647858	-4914.157272492195	-45.981939155663355	130.11529637026806	11.742289156655039	1.3646666671993415	1.5795520368269567	56.292922059507475	-4914.157272492195
5000	-4965.236891639603	-4918.587994128265	-46.64889751133791	95.63414295650678	11.670148318804376	1.3562825952824245	1.5698477784966434	55.91415877753187	-4918.587994128265
6000	-4955.446218953211	-4912.361448321607	-43.08477063160417	95.63414295650678	11.674205308987753	1.3567540910187794	1.577986043521669	56.39689940211301	-4912.361448321607
7000	-4973.532581536045	-4926.319924321567	-47.21265721447815	95.63414295650678	11.745383530735271	1.365026289510358	1.5876071044459448	56.93732923837064	-4926.319924321567
8000	-4977.1456863573185	-4924.18814738724	-52.957538970078105	95.63414295650678	11.778447763725808	1.368868952217495	1.5920763506873694	56.67477904529884	-4924.18814738724
9000	-4977.614102928192	-4928.751994451012	-48.8621084771798	95.63414295650678	11.560167208115876	1.3435007983282	1.5625716725351488	55.76299030038039	-4928.751994451012
10000	-4975.54735444413	-4927.646465900571	-47.900888543559354	95.63414295650678	11.692047753770904	1.3588277062510452	1.580397781888857	56.208186373066354	-4927.646465900571
11000	-4979.5100294796775	-4929.310304803589	-50.199724676088245	123.1547146453908	11.652417412623395	1.3542219428558309	1.5750410039690248	55.75516655131397	-4929.310304803589
12000	-4974.724213828362	-4927.274366852288	-47.449846976073886	74.4508615996061	11.652417412623395	1.3542219428558309	1.5750410039690248	55.598935137500014	-4927.274366852288
13000	-4976.830760605096	-4929.423904075591	-47.40685652950475	74.4508615996061	11.738005588904462	1.3641688390460815	1.586609838342532	56.87797714959838	-4929.423904075591
14000	-4986.853475535861	-4932.722070335457	-54.13140520040413	87.37674496798157	11.857792941766888	1.3780902989439372	1.6028013276991384	56.36340865361044	-4932.722070335457
15000	-4983.543646170096	-4936.51736554875	-47.02628062134617	102.93707779174566	12.009967624444291	1.3957757531403867	1.6233705672393588	57.170847079487245	-4936.51736554875
16000	-4972.730544401	-4929.640206094722	-43.090338306277985	95.57127115906397	12.043154497115781	1.3996326687996048	1.6278563905153487	57.65705315591494	-4929.640206094722
17000	-4966.308646530921	-4925.894985735889	-40.4136607950316	96.09862170588103	11.548608922891123	1.3618906839148692	1.6009627966200988	57.0074050198435	-4925.894985735889
18000	-4962.72972369778	-4912.804338881558	-49.92538481622224	95.48928780984787	11.541487991952591	1.3522075764324748	1.5842952674407	56.221021987473215	-4912.804338881558
19000	-4971.029400609485	-4924.50652118684	-46.52287942264528	132.70949765721258	12.149533147813449	1.4206412261378796	1.6464017695897366	58.14713425324714	-4924.50652118684
20000	-4961.21540866699	-4916.193026248664	-45.02238241832615	143.85811140191544	11.758566921557136	1.3920144295408978	1.6235734499600691	57.66238492118813	-4916.193026248664
21000	-4958.692727418884	-4918.196586647381	-40.49614077150248	112.54836444784871	11.720548522976813	1.3808495706366355	1.6032307378455184	57.350749495786076	-4918.196586647381
22000	-4966.653574480922	-4918.195747423495	-48.4578270574266	119.10028728345874	11.645178099632755	1.3973475024416913	1.6189485512221373	57.8809865737031	-4918.195747423495
23000	-4971.241060537584	-4915.923184822355	-55.317875715228936	76.8806667168094	11.687244446098624	1.4023052700413645	1.6198364847796787	57.39139509249499	-4915.923184822355
24000	-4959.03630333421	-4915.582121639248	-43.454181694962614	102.3554491239267	11.390909192847873	1.371934032398211	1.5989972250644746	57.25535255164536	-4915.582121639248
25000	-4964.403663046523	-4920.098922064983	-44.30474098154072	120.0466555057714	11.330754022315231	1.3465301079261653	1.574069040684999	55.7635187773602	-4920.098922064983
26000	-4969.172055925628	-4922.884205302153	-46.28785062347585	130.33233175232155	11.44527313016642	1.362395776335068	1.591269330339441	57.40403979501463	-4922.884205302153
27000	-4970.2242379188765	-4917.856431495622	-52.367806423254436	123.52696494668635	10.967743835479244	1.3280679422611956	1.5709387468263976	55.423647157567544	-4917.856431495622
28000	-4964.818393610736	-4917.053014048958	-47.765379561778076	94.76855624908063	10.912547587106408	1.3011584482638638	1.5362708092745614	54.36319735383962	-4917.053014048958
29000	-4962.297842605194	-4914.2876498206415	-48.01019278455238	159.77548087733734	10.676739922252018	1.2416697852861238	1.4838029139621274	52.6894914786442	-4914.2876498206415
30000	-4953.354900933431	-4916.757880533597	-36.597020399833845	155.4209959998115	10.468296130242836	1.184853992143943	1.4391315137462088	51.499434700440936	-4916.757880533597
31000	-4963.739864076862	-4920.997611559618	-42.74225251724374	147.58024680761747	10.483203600375731	1.1823578708983815	1.4346292375235818	51.15927097009836	-4920.997611559618
32000	-4973.619967932849	-4925.258222135746	-48.36174579710335	147.58024680761747	10.216819715003965	1.1895350784475178	1.455566705464122	51.521742978567936	-4925.258222135746
33000	-4970.605969185372	-4929.148665810634	-41.457303374737315	103.28604718550042	10.324578319098647	1.1822964472534838	1.4435840330601357	51.027144273785986	-4929.148665810634
34000	-4971.178073615713	-4919.510946275052	-51.66712734066134	75.82376561309685	10.198169678076589	1.1599558984847982	1.4229186954468585	50.22445185441595	-4919.510946275052
35000	-4972.9550230944615	-4917.410787403856	-55.544235690604864	72.48652933846643	10.469116770107567	1.1804250356941393	1.436598147318585	50.82589406941572	-4917.410787403856
36000	-4966.181034683962	-4910.589094682626	-55.59194000133599	69.43474303651385	11.40778493279795	1.2700809009248832	1.507956294124175	52.04192713368752	-4910.589094682626
