trace	posterior	likelihood	prior	NInfinity	b	t50	tree.height	tree.treeLength	treeLikelihood
mean	-5313.05304875943	-5265.44572938907	-47.6073193703681	173.517606932389	8.98281074554909	1.38242575401141	1.70361353440302	61.331004468342	-5265.44572938907
stderr.of.mean	0.802714639576962	0.287952275610037	0.954448786455129	1.30751113284771	0.291950745666141	0.00563788074032295	0.0036807930571549	0.088223010121054	0.287952275610037
stdev	10.9225036952364	6.63744990053525	10.5449180614596	58.6276001419025	2.78022043395416	0.083607138244045	0.0690995233003343	2.295194906071	6.63744990053525
variance	119.301086972453	44.0557411821154	111.195296922898	3437.1954983988	7.72962566137628	0.00699015356535885	0.00477474412033344	5.26791965685428	44.0557411821154
median	-5312.9800597975	-5265.16182121275	-48.1620031314703	163.119320729522	8.45192236654366	1.38223478588949	1.70258596676689	61.3280929520616	-5265.16182121275
mode	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric
geometric.mean	NaN	NaN	NaN	164.603779368233	8.59504547830129	1.37988235709294	1.70221200376181	61.2880110148652	NaN
HPD95.lower	-5348.4383739526	-5293.90311874156	-84.2619790229688	60.0332354077056	3.19391965100475	1.02635030561541	1.47683209022686	52.4999331025867	-5293.90311874156
HPD95.upper	-5295.32162688467	-5255.05903974724	-29.1022376661839	282.925538289784	14.8159445938343	1.51814113554901	1.81747915176162	65.1091030615161	-5255.05903974724
ACT	48609.4235089832	16938.7368825153	73732.9050720267	4476.40178741651	99243.7622714026	40924.8934193493	25537.3132440284	13297.4113751756	16938.7368825153
ESS	185.169856999777	531.385549136851	122.075754253915	2010.76677819727	90.6958764358903	219.939485431728	352.464643166986	676.898664412503	531.385549136851
n.samples	9001	9001	9001	9001	9001	9001	9001	9001	9001
chain.length	1e+07	1e+07	1e+07	1e+07	1e+07	1e+07	1e+07	1e+07	1e+07
log.every	1000	1000	1000	1000	1000	1000	1000	1000	1000
