trace	posterior	likelihood	prior	b	nCarryingCapacity	t50	tree.height	tree.treeLength	treeLikelihood
mean	-6361.8966020361	-6242.17996870742	-119.716633328676	5.12987073368654	156.837554371619	1.46933952281049	2.99106747764032	77.4849025961773	-6242.17996870742
stderr.of.mean	0.0570833597278132	0.0444236013314721	0.0296063670333403	0.00897728355444508	0.198150877022757	0.00108407820330955	0.00124158512132272	0.0142191408640129	0.0444236013314721
stdev	6.44515415431851	5.39303325781177	3.60143758872046	0.841770651002607	37.612833431625	0.114166000901362	0.162426938439069	2.70051560047845	5.39303325781177
variance	41.5400120729292	29.0848077198638	12.9703527054487	0.708577828889353	1414.72523875517	0.0130338757618099	0.0263825103306891	7.29278450842749	29.0848077198638
median	-6361.48099682792	-6241.77011098371	-119.713550567921	5.03916959372554	151.986655010386	1.46797518247203	2.98380937965202	77.4627107973927	-6241.77011098371
mode	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric
geometric.mean	NaN	NaN	NaN	5.06340930884749	152.57646077985	1.46488324734677	2.98667929862256	77.4378555198254	NaN
HPD95.lower	-6404.38916000738	-6277.23295594777	-134.035449344049	2.89742853566918	57.5423614279897	1.02212996961433	2.42494029030882	67.1179149794123	-6277.23295594777
HPD95.upper	-6352.05168181943	-6234.04367938371	-113.777955587861	6.64052095393838	225.368751270754	1.65951825289502	3.26808380198293	81.9586836466552	-6234.04367938371
ACT	3529.92068880062	3053.33068721252	3041.1018479883	5118.17157002289	1248.91364319061	4057.51525719846	2629.35602803875	1247.57265156704	3053.33068721252
ESS	12748.4450692546	14738.3315500237	14797.5971372903	8792.3977116302	36032.1149867782	11090.7777660635	17114.8370628098	36070.8452076723	14738.3315500237
n.samples	45001	45001	45001	45001	45001	45001	45001	45001	45001
chain.length	5e+07	5e+07	5e+07	5e+07	5e+07	5e+07	5e+07	5e+07	5e+07
log.every	1000	1000	1000	1000	1000	1000	1000	1000	1000
