Time,Lower95,Upper95,Mean,Median
0.000000,4.728837,1042.151769,154.962807,24.973867
0.001111,4.506864,1003.200932,148.525905,23.164754
0.002222,4.296479,972.644960,142.363224,21.485248
0.003333,4.067583,947.124767,136.460109,19.866055
0.004444,3.866924,919.690294,130.802989,18.431405
0.005556,3.729849,882.528993,125.379284,17.076722
0.006667,3.571064,850.400647,120.177317,15.804125
0.007778,3.391866,820.931863,115.186232,14.630737
0.008889,3.223172,791.481526,110.395920,13.545967
0.010000,3.063985,757.019094,105.796959,12.548542
0.011111,2.891797,727.428433,101.380550,11.638675
0.012222,2.751397,697.022886,97.138464,10.766945
0.013333,2.610949,669.779052,93.062995,9.980760
0.014444,2.455950,647.311474,89.146916,9.247207
0.015556,2.338320,620.542102,85.383440,8.572730
0.016667,2.205566,587.876823,81.766181,7.923717
0.017778,2.085586,564.564184,78.289124,7.338449
0.018889,1.964142,540.496409,74.946594,6.776585
0.020000,1.848426,517.931941,71.733232,6.274211
0.021111,1.745339,499.570456,68.643964,5.783945
0.022222,1.649274,477.280072,65.673987,5.354056
0.023333,1.557587,455.760379,62.818740,4.954172
0.024444,1.467472,437.162167,60.073892,4.582499
0.025556,1.381089,416.810426,57.435322,4.236034
0.026667,1.297679,399.831115,54.899101,3.913293
0.027778,1.222233,380.963908,52.461484,3.620334
0.028889,1.150302,364.134483,50.118891,3.340623
0.030000,1.086562,347.347333,47.867897,3.088732
0.031111,1.018679,331.630109,45.705222,2.855396
0.032222,0.961187,316.770590,43.627722,2.641013
0.033333,0.906304,302.645506,41.632378,2.442657
0.034444,0.848549,287.730533,39.716289,2.257856
0.035556,0.792854,274.883489,37.876666,2.088520
0.036667,0.743259,262.265210,36.110825,1.930907
0.037778,0.697125,250.121799,34.416183,1.786442
0.038889,0.649323,238.465914,32.790251,1.651496
0.040000,0.605302,226.673284,31.230632,1.526650
0.041111,0.563326,215.313820,29.735014,1.410656
0.042222,0.525352,204.714562,28.301170,1.305431
0.043333,0.486410,193.963310,26.926955,1.206170
0.044444,0.452382,183.506136,25.610300,1.116547
0.045556,0.418797,173.495422,24.349209,1.031103
0.046667,0.389247,163.918620,23.141761,0.954894
0.047778,0.361733,154.763226,21.986101,0.882339
0.048889,0.335471,144.579355,20.880440,0.816633
0.050000,0.312653,135.882323,19.823053,0.756277
0.051111,0.290327,128.450146,18.812272,0.701121
0.052222,0.270496,122.022999,17.846488,0.649308
0.053333,0.250693,114.874457,16.924143,0.601188
0.054444,0.231894,108.263806,16.043729,0.556515
0.055556,0.214423,102.467219,15.203785,0.515277
0.056667,0.199037,96.274505,14.402894,0.477506
0.057778,0.184607,90.182763,13.639679,0.442555
0.058889,0.169866,85.133748,12.912802,0.409687
0.060000,0.157833,79.937791,12.220962,0.379926
0.061111,0.145938,75.412452,11.562891,0.351843
0.062222,0.134679,70.486806,10.937354,0.326156
0.063333,0.124161,66.573701,10.343146,0.302032
0.064444,0.113855,62.043887,9.779091,0.279802
0.065556,0.104119,58.379703,9.244042,0.259376
0.066667,0.095587,55.109351,8.736880,0.240720
0.067778,0.087611,51.715310,8.256511,0.223236
0.068889,0.080602,48.672738,7.801867,0.206878
0.070000,0.073820,47.008295,7.371907,0.191800
0.071111,0.067414,44.751537,6.965613,0.178340
0.072222,0.061501,42.753408,6.581993,0.165635
0.073333,0.056100,41.139985,6.220079,0.153763
0.074444,0.051339,39.633867,5.878928,0.142614
0.075556,0.046907,38.792222,5.557621,0.132259
0.076667,0.042796,37.460964,5.255263,0.122584
0.077778,0.039093,36.795994,4.970983,0.113830
0.078889,0.035647,35.381643,4.703935,0.105628
0.080000,0.032481,34.489437,4.453298,0.098047
0.081111,0.029569,32.958906,4.218272,0.090913
0.082222,0.026859,32.108642,3.998085,0.084317
0.083333,0.024363,31.379711,3.791988,0.078377
0.084444,0.022210,30.017907,3.599254,0.072585
0.085556,0.020261,28.260982,3.419184,0.067209
0.086667,0.018418,27.226832,3.251100,0.062355
0.087778,0.016735,26.056976,3.094349,0.057858
0.088889,0.015164,24.301561,2.948304,0.053580
0.090000,0.013787,22.766687,2.812357,0.049685
0.091111,0.012488,21.115902,2.685929,0.046066
0.092222,0.011391,19.630404,2.568461,0.042720
0.093333,0.010363,18.068024,2.459417,0.039582
0.094444,0.009388,16.782232,2.358286,0.036696
0.095556,0.008485,15.158403,2.264579,0.033972
0.096667,0.007677,14.092379,2.177827,0.031507
0.097778,0.006948,12.811106,2.097585,0.029205
0.098889,0.006273,11.719474,2.023430,0.027094
0.100000,0.005643,10.752877,1.954958,0.025097
0.101111,0.005069,9.859783,1.891786,0.023231
0.102222,0.004534,9.032261,1.833552,0.021510
0.103333,0.004094,8.102153,1.779912,0.019905
0.104444,0.003660,7.389830,1.730543,0.018423
0.105556,0.003280,6.638136,1.685137,0.017072
0.106667,0.002976,6.029708,1.643407,0.015810
0.107778,0.002681,5.438842,1.605082,0.014610
0.108889,0.002402,4.886506,1.569906,0.013489
0.110000,0.002143,4.254379,1.537641,0.012486
