Time,Lower95,Upper95,Mean,Median
0.000000,6196.186868,30363.840867,14148.062087,12190.839849
1.515152,6187.834909,30266.073533,14052.507689,12189.346536
3.030303,6177.978177,30130.623040,13968.518764,12185.868479
4.545455,6177.947958,29987.532381,13894.025205,12181.791284
6.060606,6176.800861,29809.528486,13827.269431,12173.964442
7.575758,6175.314906,29690.820110,13766.752943,12162.865789
9.090909,6175.314906,29506.708311,13711.191684,12157.143653
10.606061,6175.275232,29283.598691,13659.478557,12148.330441
12.121212,6173.217484,29121.329181,13610.651786,12138.238539
13.636364,6170.873258,29003.650495,13563.868034,12121.163318
15.151515,6169.548876,28812.626341,13518.379390,12110.300916
16.666667,6165.308989,28761.107458,13473.513472,12094.909417
18.181818,6160.498560,28578.749753,13428.656018,12087.336623
19.696970,6160.498560,28452.843679,13383.235421,12059.528390
21.212121,6157.684468,28307.515878,13336.708764,12035.005768
22.727273,6152.874541,28104.193165,13288.548933,12002.950989
24.242424,6133.328690,27938.399127,13238.232502,11986.833625
25.757576,6114.819034,27734.370360,13185.144572,11960.848838
27.272727,6099.127096,27383.525959,13128.827208,11915.647186
28.787879,6086.630475,27240.121403,13068.710931,11867.779628
30.303030,6076.307569,27120.633970,13003.790750,11806.045216
31.818182,6055.222764,26906.517448,12932.759447,11753.013363
33.333333,6022.920202,26620.847337,12856.064304,11690.975162
34.848485,5988.457216,26487.610852,12772.843603,11616.072685
36.363636,5959.162005,26202.509868,12682.142264,11537.918376
37.878788,5914.632324,25981.094717,12581.166435,11458.952524
39.393939,5816.377038,25719.493957,12466.629715,11340.459919
40.909091,5711.195771,25537.903378,12334.699431,11232.413748
42.424242,5516.625769,25140.985291,12179.339935,11080.462497
43.939394,5351.104015,24960.544730,12009.101067,10912.302449
45.454545,5074.601579,24603.552865,11823.485846,10755.506983
46.969697,4778.116392,24292.131351,11598.594889,10542.654295
48.484848,4420.320014,23792.979179,11329.414278,10313.819723
50.000000,3969.370585,23396.292296,11024.921381,10035.619730
51.515152,3476.867093,22875.176741,10674.451212,9748.565884
53.030303,2930.755936,22498.290460,10272.615974,9395.169286
54.545455,2432.860604,21965.578396,9814.794832,9004.874261
56.060606,2015.566029,21408.101776,9268.025378,8495.878967
57.575758,1594.191203,20728.002493,8640.906075,7887.844678
59.090909,1263.505171,19882.988786,7922.577649,7162.885258
60.606061,958.719226,19084.401576,7149.346887,6264.566445
62.121212,725.059562,17968.165020,6284.469266,5209.993979
63.636364,518.768082,16622.899648,5341.019627,4080.723081
65.151515,390.564533,15195.905383,4417.078481,3045.290904
66.666667,315.242380,13865.735208,3603.567412,2229.827632
68.181818,273.728554,12176.806857,2857.256595,1619.111642
69.696970,245.443670,10666.147556,2226.882530,1170.099667
71.212121,227.213763,8796.594541,1700.954269,847.199047
72.727273,212.705160,6678.850872,1278.262979,626.539877
74.242424,203.571112,4822.531243,962.811734,486.017349
75.757576,196.160617,3407.028347,732.663244,400.652303
77.272727,190.169535,2255.815605,561.626258,350.758336
78.787879,185.840411,1554.391222,453.004141,320.952491
80.303030,181.219928,1132.943955,383.080005,301.551721
81.818182,178.538269,836.021857,339.082240,288.196602
83.333333,175.732785,672.184727,311.791092,278.962853
84.848485,173.539346,559.772042,294.365745,272.319642
86.363636,172.362910,492.227012,282.831699,267.391530
87.878788,171.085714,450.921937,274.990051,263.505600
89.393939,169.542186,424.910203,269.556436,260.201304
90.909091,168.220107,412.888010,265.733379,258.006703
92.424242,166.942383,403.645035,263.002797,255.883292
93.939394,166.063578,396.212257,261.021811,254.191798
95.454545,164.866005,393.881085,259.563470,252.697325
96.969697,164.154978,390.924599,258.475869,251.787391
98.484848,163.552676,389.004928,257.655287,251.008311
100.000000,163.262851,387.191379,257.029651,250.640910
101.515152,162.430042,385.167194,256.548073,250.113730
103.030303,162.138320,384.599919,256.174110,249.797753
104.545455,162.071333,384.231330,255.881357,249.505775
106.060606,161.936436,383.570653,255.650478,249.281723
107.575758,161.772844,383.451998,255.467171,249.044569
109.090909,161.668313,383.089455,255.320744,248.883207
110.606061,161.522049,383.080517,255.203128,248.706420
112.121212,161.379406,383.026177,255.108171,248.545742
113.636364,161.379406,383.026177,255.031146,248.539200
115.151515,161.232476,383.026177,254.968391,248.523943
116.666667,161.226806,383.026177,254.917052,248.457923
118.181818,161.070670,383.026177,254.874889,248.422300
119.696970,160.962180,383.026177,254.840136,248.409974
121.212121,160.959544,383.026177,254.811390,248.390019
122.727273,160.939037,383.026177,254.787536,248.376426
124.242424,160.932946,383.026177,254.767679,248.342112
125.757576,160.920601,383.026177,254.751099,248.337435
127.272727,160.904418,383.026177,254.737217,248.333916
128.787879,160.886970,383.026177,254.725561,248.329349
130.303030,160.886970,383.026177,254.715749,248.329331
131.818182,160.886970,383.026177,254.707468,248.315159
133.333333,160.886970,383.026177,254.700463,248.315123
134.848485,160.886970,383.026177,254.694523,248.315100
136.363636,160.822613,383.026177,254.689475,248.315085
137.878788,160.822613,383.026177,254.685175,248.315075
139.393939,160.822613,383.026177,254.681506,248.315068
140.909091,160.822613,383.026177,254.678368,248.308392
142.424242,160.816520,383.026177,254.675680,248.302264
143.939394,160.816520,383.026177,254.673373,248.302262
145.454545,160.816520,383.026177,254.671389,248.302261
146.969697,160.816520,383.026177,254.669680,248.302260
148.484848,160.816520,383.026177,254.668206,248.302260
150.000000,160.816520,383.026177,254.666932,248.302260
